"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"NDUFB2"	4.58514661236717e-07	0.544992068173062	0.443	0.259	0.0121795249464309	"1"	"NDUFB2"
"GZMA"	4.60417358755256e-07	0.660503700761788	0.291	0.169	0.0122300663006159	"1"	"GZMA"
"C1QBP"	4.61895703035249e-07	0.554457565782596	0.417	0.25	0.0122693355597253	"1"	"C1QBP"
"SNORD3A"	5.09500619951521e-07	0.516791456672947	0.33	0.191	0.0135338649677722	"1"	"SNORD3A"
"RPS21"	5.35734474113222e-07	0.365377752784662	0.757	0.575	0.0142307148358695	"1"	"RPS21"
"NDUFB1"	5.3978906381927e-07	0.576773985160834	0.314	0.17	0.0143384169022313	"1"	"NDUFB1"
"SNRPD2"	5.84525874854512e-07	0.50740434921793	0.524	0.334	0.0155267608137604	"1"	"SNRPD2"
"NFATC1"	5.86713915039979e-07	0.451933070741035	0.424	0.258	0.015584881725207	"1"	"NFATC1"
"GNG5"	6.29822028399333e-07	0.461139249425049	0.595	0.412	0.0167299625403715	"1"	"GNG5"
"LEF1"	6.88235983211378e-07	0.506411781209811	0.35	0.204	0.0182816124220438	"1"	"LEF1"
"MPG"	7.62009688514845e-07	0.524272509464236	0.369	0.211	0.0202412633560198	"1"	"MPG"
"C11orf48"	7.84024767370281e-07	0.526806220611988	0.356	0.208	0.0208260498956568	"1"	"C11orf48"
"AP3S1"	8.01128433453234e-07	0.537739650260853	0.35	0.203	0.0212803745778182	"1"	"AP3S1"
"DTHD1"	8.37101501794862e-07	0.486712634207838	0.307	0.175	0.0222359271921769	"1"	"DTHD1"
"GSTP1"	8.47939209595697e-07	0.603597789135605	0.275	0.143	0.0225238092244905	"1"	"GSTP1"
"PFKFB3"	8.67380255316999e-07	0.379015967331111	0.618	0.439	0.0230402217219854	"1"	"PFKFB3"
"HECTD4"	8.73197590088683e-07	0.457822835782202	0.388	0.241	0.0231947475855257	"1"	"HECTD4"
"FKBP1A"	8.76735695966344e-07	0.32239303587528	0.803	0.64	0.023288730291954	"1"	"FKBP1A"
