"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"IL7R"	5.21282074035995e-05	-0.382876906508682	0.382	0.541	1
"MVP"	5.87478759701617e-05	-0.367740000578581	0.434	0.547	1
"ETF1"	6.22836158991784e-05	0.383366957636019	0.506	0.378	1
"REL"	6.89861834095414e-05	0.354657563790625	0.586	0.468	1
"TNFRSF4"	7.11833844897586e-05	-0.348582367041145	0.422	0.541	1
"GPR171"	7.12836847903886e-05	-0.56935625565803	0.155	0.279	1
"ALDOC"	7.2903266778415e-05	-0.613195277661884	0.052	0.146	1
"ARHGAP26"	7.41300625529041e-05	0.440771896739786	0.203	0.109	1
"ITGA5"	7.52857375703621e-05	0.357411685370461	0.131	0.057	1
"AC017002.1"	7.73646333854581e-05	-0.447443976294948	0.319	0.454	1
"CEACAM1"	7.79951002852223e-05	-0.561086934398124	0.04	0.129	1
"TCP1"	7.92084875997426e-05	0.330931604339169	0.478	0.407	1
"PARP9"	8.03427367603249e-05	-0.390207184956415	0.315	0.454	1
"SETD1B"	8.08747192917305e-05	0.281340597071919	0.311	0.186	1
"CHCHD3"	8.1639979089742e-05	0.311593007279026	0.562	0.43	1
"RP11-216M21.1"	8.39886302687257e-05	0.423270620402601	0.135	0.061	1
"STARD7"	8.57635930197443e-05	-0.407273957566939	0.351	0.472	1
"PILRA"	8.66212175975022e-05	0.309850582931795	0.108	0.043	1
"CTSB"	8.771628024731e-05	-0.252803965696233	0.602	0.722	1
"VAMP5"	8.81818242725787e-05	-0.516235390770502	0.155	0.277	1
"ANKS3"	9.11754418301538e-05	0.425775155430972	0.12	0.05	1
"TPP1"	9.28049348846646e-05	-0.272527310992968	0.562	0.688	1
"TNFRSF1B"	9.32214753898741e-05	-0.299780666676314	0.546	0.673	1
"GUK1"	9.36980218071985e-05	-0.322794637088125	0.482	0.598	1
"FAM13A"	9.57576714537928e-05	0.418030940794946	0.171	0.086	1
"NOP56"	9.65815768199898e-05	0.427201447275925	0.343	0.228	1
"NXF1"	9.91709034914374e-05	0.379078055956645	0.51	0.398	1
"IL12RB2"	0.000105941480720689	-0.491827260009033	0.247	0.365	1
"RASGEF1B"	0.000106325645793801	0.435264685365565	0.343	0.228	1
"LAYN"	0.00010655466143166	-0.55442981074373	0.143	0.25	1
"TXK"	0.000108721199119719	0.485251361613663	0.143	0.068	1
"LDOC1L"	0.000110406395032937	0.341496678891867	0.127	0.056	1
"ZFAND2A"	0.000116309690545703	0.488969388559114	0.235	0.135	1
"IL10RB"	0.000120832973408874	-0.465399512228827	0.183	0.304	1
"TMEM2"	0.000123612478509381	0.275897572562787	0.713	0.623	1
